0.0,0.0,0.025641026,0.025641026,0.0075,0.0025,0.0,0.32
0.009,0.0065,0.11180556,0.025641026,0.023,0.0,0.25,0.45
0.0275,0.0605,0.11180556,0.025641026,0.111,0.033,0.25,0.36
0.033,0.0,0.11214445,0.025641026,0.144,0.0,0.5,0.39
0.0,0.0,0.11215556,0.025641026,0.144,0.0,0.75,0.28
0.0215,0.005,0.10345299,0.10345299,0.0125,0.0025,0.0,0.54
0.004,0.0015,0.1125,0.10345299,0.018,0.0,0.25,0.44
0.0,0.0215,0.1125,0.10345299,0.0395,0.0215,0.25,0.43
0.0215,0.073,0.112505555,0.10345299,0.134,0.073,0.5,0.44
0.073,0.24825,0.112505555,0.10345299,0.45525,0.24825,0.75,0.26
