0.0,0.0,0.069042735,0.069042735,0.0075,0.0025,0.0,0.47
0.005,0.015,0.069042735,0.069042735,0.0275,0.0125,0.0,0.52
0.0125,0.048,0.11203333,0.069042735,0.088,0.048,0.25,0.47
0.048,0.0,0.11203333,0.069042735,0.136,0.0,0.5,0.44
0.0,0.163,0.33425555,0.069042735,0.299,0.163,0.75,0.78
0.35875,0.0025,0.103564106,0.103564106,0.01,0.0025,0.0,0.61
0.0025,0.0,0.22360556,0.103564106,0.0125,0.0,0.25,0.61
0.0,0.0,0.22360556,0.103564106,0.0125,0.0,0.5,0.59
0.00175,0.017,0.22360556,0.103564106,0.03125,0.01525,0.5,0.69
0.01525,0.0,0.22360556,0.103564106,0.0465,0.0,0.75,0.73
